번호,대여소명,거치대,구,주소,위도,경도,구역,인터넷,CCTV,거치대,구조
223,가양비래공원네거리,13,대덕구,비래동 47-1,36.353415,127.454012,6구역,,,평면,일자형
224,정림삼거리,15,서구,정림동 497,36.307341,127.364028,4구역,,,평면,일자형
225,대전보건대,14,동구,가양동 88-1,36.348927,127.451465,6구역,,2,평면,일자형
226,대정동 모다아울렛,15,유성구,대정동 303-2,36.3127,127.319812,3구역,,,평면,일자형
227,죽동 대원칸타빌,13,유성구,죽동 141-3,36.369209,127.333916,7구역,무선,,평면,일자형
228,노은3지구 트리풀시티포레(105동),13,유성구,지족동 1043,36.380921,127.305728,7구역,무선,,평면,일자형
229,송림마을5단지(502동),14,유성구,하기동 545,36.391066,127.329563,7구역,무선,,평면,일자형
230,노은3지구 꿈에그린(201동),14,유성구,지족동 1093,36.388147,127.303323,7구역,무선,,평면,일자형
231,덕명동 하우스토리(101동),14,유성구,덕명동 525,36.358066,127.303964,3구역,무선,,평면,일자형
232,온천2동주민센터,12,유성구,장대동 40-2,36.36487,127.333479,7구역,무선,,평면,일자형
233,대덕산업단지 BRT정류장,14,대덕구,문평동 92-1,36.438114,127.395328,7구역,무선,,평면,일자형
234,와동 현대아파트(대덕의원),14,대덕구,와동 372-7,36.400507,127.422846,6구역,무선,,평면,일자형
235,비래동 금성백조(102동),14,대덕구,비래동 130-7,36.358135,127.450793,6구역,무선,,평면,일자형
236,가양2동주민센터(건너편 한산아파트),12,동구,가양동 55-3,36.349003,127.447924,6구역,무선,,평면,일자형
237,변동네거리(복음천하교회),13,서구,변동 60-2,36.324438,127.37853,4구역,무선,,평면,일자형
238,내동네거리(컨벤션웨딩홀),14,서구,변동 70-9,36.330836,127.37708,4구역,무선,,평면,일자형
239,느리울중네거리,14,서구,관저동 1394,36.296364,127.340776,3구역,무선,,평면,일자형
240,서부경찰서,14,서구,복수동 292-14,36.308404,127.373714,4구역,무선,,평면,일자형
241,사정동 웰빙24시 사우나,14,중구,사정동 401,36.296633,127.385077,4구역,무선,,평면,일자형
242,서대전역,12,중구,오류동 170-1,36.322254,127.40476,4구역,무선,,평면,일자형
243,솔브릿지 국제대학,14,동구,삼성동 151-13,36.339173,127.4331,5구역,무선,,평면,일자형
244,우송대 서문(건너편),13,동구,가양동 307-3,36.339,127.445151,6구역,무선,,평면,일자형
245,천동초등학교,13,동구,천동 199-64,36.316658,127.443987,5구역,무선,,평면,일자형
246,용방마을아파트(301동),14,동구,용운동 460,36.327231,127.451887,6구역,무선,,평면,일자형
247,목동 한사랑아파트(109동),12,중구,목동 112-12,36.33317,127.412043,5구역,무선,,평면,일자형
248,옥계동 새마을금고,12,중구,옥계동 46-15,36.298972,127.454283,5구역,무선,,평면,일자형
249,관저 금성백조(114동),13,서구,관저동 1574,36.295683,127.334585,3구역,무선,,평면,일자형
250,노은3지구 영무예다음(102동),13,유성구,지족동 1052,36.374552,127.30543,7구역,무선,,평면,일자형
251,관저 더샵(109동),13,서구,관저동 1985,36.293458,127.328742,3구역,무선,,평면,일자형
252,대전정부청사 남문,15,서구,둔산동 1517,36.359667,127.385135,1구역,무선,,평면,일자형
253,가수원파출소(건너편),15,서구,가수원동 1373,36.308682,127.351457,3구역,무선,,평면,십일자형
254,대전과학기술대학교 정문,15,서구,복수동 257-5,36.304556,127.374818,4구역,무선,,평면,일자형
255,용운국제수영장,15,동구,용운동 301-12,36.324729,127.465291,5구역,무선,,평면,일자형
256,신성동 수천이들 근린공원,15,유성구,신성동 494,36.393679,127.35275,7구역,무선,,평면,일자형
257,대전테크노파크,15,유성구,용산동 605,36.420851,127.405341,7구역,무선,,평면,일자형
258,천문대입구,12,유성구,신성동 458,36.382848,127.355004,7구역,무선,,평면,일자형
259,대덕대학교,14,유성구,장동 48,36.390462,127.36242,7구역,무선,,평면,일자형
260,오정농수산물 도매시장,15,대덕구,오정동 45-1,36.357693,127.407763,1구역,무선,,평면,일자형
261,도로교통공단(건너편 라도무스),15,유성구,원신흥동 608,36.332692,127.333128,3구역,무선,,평면,일자형
